PontoWeb				DESKTOP	
Pessoas	Basic	PRO	Ultimate	Pessoas	Valor
4770	18603,00	23897,70	33056,10		
4780	18642,00	23947,80	33125,40		
4790	18681,00	23997,90	33194,70		
4800	18720,00	24048,00	33264,00		
4810	18759,00	24098,10	33333,30		
4820	18798,00	24148,20	33402,60		
4830	18837,00	24198,30	33471,90		
4840	18876,00	24248,40	33541,20		
4850	18915,00	24298,50	33610,50		
4860	18954,00	24348,60	33679,80		
4870	18993,00	24398,70	33749,10		
4880	19032,00	24448,80	33818,40		
4890	19071,00	24498,90	33887,70		
4900	19110,00	24549,00	33957,00		
4910	19149,00	24599,10	34026,30		
4920	19188,00	24649,20	34095,60		
4930	19227,00	24699,30	34164,90		
4940	19266,00	24749,40	34234,20		
4950	19305,00	24799,50	34303,50		
4960	19344,00	24849,60	34372,80		
4970	19383,00	24899,70	34442,10		
4980	19422,00	24949,80	34511,40		
4990	19461,00	24999,90	34580,70		
5000	19500,00	25050,00	34650,00		
